Date : 2024-05-16 21:10:46
Directory : d:\CocoCode\NWPUgame-main
Total : 230 files,  89335 codes, 963 comments, 2756 blanks, all 93054 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\qizhenhu.tmx                              | XML                |        350 |          0 |          1 |        351 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\shuzihuadalou.tmx                         | XML                |      9,551 |          0 |          1 |      9,552 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\sushe.tmx                                 | XML                |        234 |          0 |          1 |        235 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\tushuguan.tmx                             | XML                |      7,036 |          0 |          1 |      7,037 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\xintianyuanbd.tmx                         | XML                |      1,406 |          0 |          1 |      1,407 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\yinghe.tmx                                | XML                |        411 |          0 |          1 |        412 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\yinhelu.tmx                               | XML                |      9,639 |          0 |          1 |      9,640 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\youyongguan.tmx                           | XML                |      1,354 |          0 |          1 |      1,355 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\yuntianyuancanting.tmx                    | XML                |        338 |          0 |          1 |        339 |
| d:\CocoCode\NWPUgame-main\assets\resources\map\map\yuntianyuansushe.tmx                      | XML                |        294 |          0 |          1 |        295 |
| d:\CocoCode\NWPUgame-main\assets\resources\phone\ad\json\shuadan.json                        | JSON               |          8 |          0 |          0 |          8 |
| d:\CocoCode\NWPUgame-main\assets\resources\phone\ad\json\xinyongka.json                      | JSON               |          8 |          0 |          0 |          8 |
| d:\CocoCode\NWPUgame-main\assets\resources\phone\ad\json\zhiyuan.json                        | JSON               |          8 |          0 |          0 |          8 |
| d:\CocoCode\NWPUgame-main\assets\resources\save\bag.json                                     | JSON               |         12 |          0 |          4 |         16 |
| d:\CocoCode\NWPUgame-main\assets\resources\save\player.json                                  | JSON               |          7 |          0 |          1 |          8 |
| d:\CocoCode\NWPUgame-main\assets\resources\shop\dachao.json                                  | JSON               |        104 |          0 |          1 |        105 |
| d:\CocoCode\NWPUgame-main\assets\script\data\BagDataManager.ts                               | TypeScript         |        203 |         12 |         63 |        278 |
| d:\CocoCode\NWPUgame-main\assets\script\data\GameDataManager.ts                              | TypeScript         |        157 |          6 |         29 |        192 |
| d:\CocoCode\NWPUgame-main\assets\script\data\PlayerDataManager.ts                            | TypeScript         |         73 |         24 |          9 |        106 |
| d:\CocoCode\NWPUgame-main\assets\script\data\PlotDataManager.ts                              | TypeScript         |        272 |          1 |         29 |        302 |
| d:\CocoCode\NWPUgame-main\assets\script\home\home.ts                                         | TypeScript         |         41 |          0 |         20 |         61 |
| d:\CocoCode\NWPUgame-main\assets\script\loading\loading.ts                                   | TypeScript         |         72 |         15 |         17 |        104 |
| d:\CocoCode\NWPUgame-main\assets\script\login\frist\frist.ts                                 | TypeScript         |         74 |          1 |         12 |         87 |
| d:\CocoCode\NWPUgame-main\assets\script\login\login.ts                                       | TypeScript         |         24 |          0 |          5 |         29 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\Plot\Plot1_1.ts                             | TypeScript         |         49 |         26 |          8 |         83 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\Plot\credit.ts                              | TypeScript         |         47 |          0 |         15 |         62 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\Plot\police.ts                              | TypeScript         |         41 |         27 |         16 |         84 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\Plot\schoolcard.ts                          | TypeScript         |         51 |          0 |         14 |         65 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\Plot\shuadan.ts                             | TypeScript         |         32 |          0 |         13 |         45 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\Plot\water.ts                               | TypeScript         |         32 |          0 |         17 |         49 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\aoxiangxueshengzhongxin\xiaoyuanka.ts       | TypeScript         |         26 |          0 |         14 |         40 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\d100\nvtongxue.ts                           | TypeScript         |         26 |          0 |         15 |         41 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\d100\student3.ts                            | TypeScript         |         31 |          0 |         11 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dachao\xiaoshouyuan.ts                      | TypeScript         |         41 |          0 |         20 |         61 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\bingpai1.ts                         | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\bingpai2.ts                         | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\canguan1.ts                         | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\canguan2.ts                         | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\canguan3.ts                         | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\canguan4.ts                         | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\guomalu.ts                          | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\jiangjie.ts                         | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\menwei.ts                           | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\paizhao.ts                          | TypeScript         |         26 |          0 |         16 |         42 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\student1.ts                         | TypeScript         |         26 |          0 |         18 |         44 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\dongmen\suguanayi.ts                        | TypeScript         |         35 |          1 |         21 |         57 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\sushe\shiyou.ts                             | TypeScript         |         44 |          1 |         23 |         68 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\tushuguan\student2.ts                       | TypeScript         |         12 |          0 |          8 |         20 |
| d:\CocoCode\NWPUgame-main\assets\script\main\NPC\tushuguan\tushuguanlaoshi.ts                | TypeScript         |         33 |          0 |         23 |         56 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\UI.ts                                        | TypeScript         |        180 |          0 |         25 |        205 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\bag.ts                                       | TypeScript         |         17 |          0 |          7 |         24 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\hudong.ts                                    | TypeScript         |         20 |          1 |          6 |         27 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\img.ts                                       | TypeScript         |         17 |          0 |          6 |         23 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\joystickcontrol.ts                           | TypeScript         |        241 |         43 |         45 |        329 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\mapwindow.ts                                 | TypeScript         |         38 |          0 |          6 |         44 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\phone.ts                                     | TypeScript         |         16 |          0 |          5 |         21 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\phoneview.ts                                 | TypeScript         |        138 |          6 |         43 |        187 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\player.ts                                    | TypeScript         |         46 |          0 |          7 |         53 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\setting.ts                                   | TypeScript         |         73 |          4 |         55 |        132 |
| d:\CocoCode\NWPUgame-main\assets\script\main\UI\shop.ts                                      | TypeScript         |          9 |          0 |          7 |         16 |
| d:\CocoCode\NWPUgame-main\assets\script\main\dialogue\text.ts                                | TypeScript         |        245 |         23 |         96 |        364 |
| d:\CocoCode\NWPUgame-main\assets\script\main\event\Event_Read.ts                             | TypeScript         |         43 |          4 |         12 |         59 |
| d:\CocoCode\NWPUgame-main\assets\script\main\event\Event_Run.ts                              | TypeScript         |         42 |          3 |         14 |         59 |
| d:\CocoCode\NWPUgame-main\assets\script\main\event\Event_Sleep.ts                            | TypeScript         |         40 |          2 |         13 |         55 |
| d:\CocoCode\NWPUgame-main\assets\script\main\event\eventWindow.ts                            | TypeScript         |         31 |          0 |          7 |         38 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\BagDataControl.ts                          | TypeScript         |        137 |          3 |         23 |        163 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\ChatGPTControl.ts                          | TypeScript         |         21 |          0 |          9 |         30 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\PlayerDataControl.ts                       | TypeScript         |         22 |          0 |          5 |         27 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\PlotDataControl.ts                         | TypeScript         |        219 |         37 |         31 |        287 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\TimeDataControl.ts                         | TypeScript         |         19 |          0 |          5 |         24 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\VideoDataControl.ts                        | TypeScript         |         39 |          0 |          5 |         44 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\advertiseControl.ts                        | TypeScript         |         93 |          7 |         11 |        111 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\game.ts                                    | TypeScript         |         14 |          0 |          6 |         20 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\messageControl.ts                          | TypeScript         |        320 |          4 |         42 |        366 |
| d:\CocoCode\NWPUgame-main\assets\script\main\game\shopDataControl.ts                         | TypeScript         |        204 |          8 |         51 |        263 |
| d:\CocoCode\NWPUgame-main\assets\script\main\map\camera.ts                                   | TypeScript         |        174 |         20 |         20 |        214 |
| d:\CocoCode\NWPUgame-main\assets\script\main\map\map copy.ts                                 | TypeScript         |        297 |         51 |         46 |        394 |
| d:\CocoCode\NWPUgame-main\assets\script\main\map\map.ts                                      | TypeScript         |        300 |         48 |         47 |        395 |
| d:\CocoCode\NWPUgame-main\assets\script\main\map\mapdata.ts                                  | TypeScript         |         30 |          0 |          8 |         38 |
| d:\CocoCode\NWPUgame-main\assets\script\main\message\message_kuaidi.ts                       | TypeScript         |         25 |          1 |          7 |         33 |
| d:\CocoCode\NWPUgame-main\assets\script\main\message\message_xinyongka.ts                    | TypeScript         |         15 |         11 |          7 |         33 |
